ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
127 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual17 playerVirtual17_00ee5f4ad1 3 1 2 4096 40 2018-02-18 16:17:11 2018-02-18 17:11:38
128 192.168.0.200 playerVirtual14_904011 playerVirtual14 192.168.0.200 playerVirtual12 playerVirtual12_7c43d240ba 1 1 1 2048 20 2018-02-18 16:28:19 NULL
129 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual19 playerVirtual19_36b5e435a2 3 1 2 4096 40 2018-02-18 16:34:01 2018-02-18 16:39:49
130 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual13 playerVirtual13_e72ab72d16 3 1 2 4096 40 2018-02-18 16:35:22 2018-02-18 17:35:04
131 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual14 playerVirtual14_de99eff179 3 1 2 4096 40 2018-02-18 16:36:03 2018-02-18 17:32:30
132 192.168.0.200 playerVirtual19_4246147567 playerVirtual19 192.168.0.200 playerVirtual16 playerVirtual16_bae8f224cd 1 1 2 4096 40 2018-02-18 16:41:24 NULL
133 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual11 playerVirtual11_1a2c7bebb8 3 1 2 4096 40 2018-02-18 16:42:00 2018-02-18 17:48:43
134 192.168.0.200 playerVirtual10_6370662053 playerVirtual10 192.168.0.200 playerVirtual17 playerVirtual17_415dc44c46 1 1 1 512 1 2018-02-18 16:42:51 NULL
135 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual18 playerVirtual18_52de94231f 3 1 2 4096 40 2018-02-18 16:43:36 2018-02-18 17:10:22
136 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual10 playerVirtual10_ef89a70277 3 1 2 4096 40 2018-02-18 16:46:08 2018-02-18 17:34:31
137 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual16 playerVirtual16_41413c24e4 3 1 2 4096 40 2018-02-18 16:55:40 2018-02-18 17:11:38
138 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual15 playerVirtual15_210163248d 3 1 2 4096 40 2018-02-18 17:00:11 2018-02-18 17:23:11
139 192.168.0.200 playerVirtual17_990694203 playerVirtual17 192.168.0.200 playerVirtual13 playerVirtual13_28edc986f8 3 1 1 2048 20 2018-02-18 17:03:41 2018-02-18 17:30:01
140 192.168.0.200 playerVirtual16_539194189 playerVirtual16 192.168.0.200 playerVirtual17 playerVirtual17_436bf1f41d 1 1 1 2048 20 2018-02-18 17:12:53 NULL
141 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual12 playerVirtual12_89ac953a39 3 1 2 4096 40 2018-02-18 17:16:04 2018-02-18 17:35:04
142 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual19 playerVirtual19_969b927d93 3 1 2 4096 40 2018-02-18 17:16:04 2018-02-18 17:32:30
143 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual13 playerVirtual13_3d3a6b0c32 1 1 2 4096 40 2018-02-18 17:22:52 NULL
144 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual11 playerVirtual11_908674605d 3 1 2 4096 40 2018-02-18 17:23:21 2018-02-18 17:48:43
