ORIGIN STATUS TIMESTAMP_RECEIVED TIMESTAMP_FINISHED
127 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual19 playerVirtual19_598f1743cf 3 2 4096 40 2018-02-13 06:08:01 2018-02-13 07:56:08
128 192.168.0.200 playerVirtual10_5792765 playerVirtual10 192.168.0.200 playerVirtual14 playerVirtual14_10628862a0 1 1 512 1 2018-02-13 06:11:03 NULL
129 192.168.0.200 playerVirtual14_1438244924 playerVirtual14 192.168.0.200 playerVirtual16 playerVirtual16_bdbf62179f 1 1 2048 20 2018-02-13 06:15:48 NULL
130 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual10 playerVirtual10_ba8435055b 3 2 4096 40 2018-02-13 06:19:17 2018-02-13 07:03:08
131 192.168.0.200 playerVirtual13_4246147567 playerVirtual13 192.168.0.200 playerVirtual11 playerVirtual11_977ab0b725 3 2 4096 40 2018-02-13 06:19:59 2018-02-13 07:50:42
132 192.168.0.200 playerVirtual15_6280643141 playerVirtual15 192.168.0.200 playerVirtual18 playerVirtual18_667319448f 1 1 512 1 2018-02-13 06:20:13 NULL
133 192.168.0.200 playerVirtual14_990694203 playerVirtual14 192.168.0.200 playerVirtual8 playerVirtual8_628b2ecadb 3 1 2048 20 2018-02-13 06:29:30 2018-02-13 06:52:10
134 192.168.0.200 playerVirtual15_4246147567 playerVirtual15 192.168.0.200 playerVirtual13 playerVirtual13_f30c4d307b 3 2 4096 40 2018-02-13 06:29:34 2018-02-13 06:56:20
135 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual15 playerVirtual15_8e2f25d7f0 3 2 4096 40 2018-02-13 06:30:34 2018-02-13 08:02:55
136 192.168.0.200 playerVirtual9_4246147567 playerVirtual9 192.168.0.200 playerVirtual17 playerVirtual17_d6b7bc5276 3 2 4096 40 2018-02-13 06:37:41 2018-02-13 08:10:41
137 192.168.0.200 playerVirtual8_4246147567 playerVirtual8 192.168.0.200 playerVirtual12 playerVirtual12_92f962f06f 3 2 4096 40 2018-02-13 06:37:41 2018-02-13 08:13:42
138 192.168.0.200 playerVirtual12_4246147567 playerVirtual12 192.168.0.200 playerVirtual19 playerVirtual19_92b3f18236 3 2 4096 40 2018-02-13 06:37:41 2018-02-13 06:47:15
139 192.168.0.200 playerVirtual17_4246147567 playerVirtual17 192.168.0.200 playerVirtual9 playerVirtual9_b11319e7ee 3 2 4096 40 2018-02-13 06:38:43 2018-02-13 07:57:28
140 192.168.0.200 playerVirtual18_4246147567 playerVirtual18 192.168.0.200 playerVirtual14 playerVirtual14_8a633a249b 3 2 4096 40 2018-02-13 06:40:09 2018-02-13 07:28:57
141 192.168.0.200 playerVirtual16_4246147567 playerVirtual16 192.168.0.200 playerVirtual8 playerVirtual8_30774115f1 3 2 4096 40 2018-02-13 06:55:04 2018-02-13 07:03:08
142 192.168.0.200 playerVirtual13_990694203 playerVirtual13 192.168.0.200 playerVirtual16 playerVirtual16_93341cee3b 3 1 2048 20 2018-02-13 06:56:07 2018-02-13 07:11:49
143 192.168.0.200 playerVirtual11_4246147567 playerVirtual11 192.168.0.200 playerVirtual10 playerVirtual10_b1238577fe 3 2 4096 40 2018-02-13 07:01:28 2018-02-13 07:56:08
144 192.168.0.200 playerVirtual10_4246147567 playerVirtual10 192.168.0.200 playerVirtual11 playerVirtual11_2046d1f22a 3 2 4096 40 2018-02-13 07:07:31 2018-02-13 08:02:55
145 192.168.0.200 playerVirtual15_990694203 playerVirtual15 192.168.0.200 playerVirtual18 playerVirtual18_1c524b7d1b 3 1 2048 20 2018-02-13 07:07:38 2018-02-13 07:35:24
146 192.168.0.200 playerVirtual14_4246147567 playerVirtual14 192.168.0.200 playerVirtual13 playerVirtual13_ec39e3443f 3 2 4096 40 2018-02-13 07:08:14 2018-02-13 08:11:09
147 192.168.0.200 playerVirtual12_6370662053 playerVirtual12 192.168.0.200 playerVirtual15 playerVirtual15_57ed894dc9 1 1 512 1 2018-02-13 07:14:54 NULL
